"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2724","0.0-0.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","","","","","","","","","","","","",""
"","instructions","1","57852","0.0-1.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","[{""page_index"":0,""viewing_time"":6824.9000000003725},{""page_index"":1,""viewing_time"":5201.9000000003725},{""page_index"":2,""viewing_time"":7289},{""page_index"":3,""viewing_time"":8702.599999999627},{""page_index"":4,""viewing_time"":3866.199999999255},{""page_index"":5,""viewing_time"":10791.700000001118},{""page_index"":6,""viewing_time"":12435.900000000373}]","55117.90000000037","","","","","","","","","","","",""
"","image-keyboard-response","2","58904","0.0-2.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1043.3999999985099","img/land5.png","74","1051.2000000011176","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","3","59217","0.0-3.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","60061","0.0-4.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","833.2999999988824","img/land6.png","75","840.7000000011176","2","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","5","60371","0.0-5.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","61690","0.0-6.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1307.5","img/land6.png","76","1316","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","7","61995","0.0-7.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","63185","0.0-8.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1179.0999999996275","img/land6.png","76","1187.7000000011176","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","9","63492","0.0-9.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","64510","0.0-10.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1012.1000000014901","img/land3.png","75","1016.7000000011176","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","11","64818","0.0-11.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","66157","0.0-12.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1331.2999999988824","img/land3.png","75","1336.699999999255","2","0","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","13","66462","0.0-13.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","67750","0.0-14.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1280.9000000003725","img/land3.png","75","1286.699999999255","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","15","68056","0.0-15.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","69630","0.0-16.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1566.4000000003725","img/land5.png","74","1572.1000000014901","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","17","69937","0.0-17.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","71194","0.0-18.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1250.7000000011176","img/land5.png","74","1256.3999999985099","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","19","71503","0.0-19.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","72982","0.0-20.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1470.7000000011176","img/land6.png","76","1477.7999999988824","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","21","73288","0.0-21.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","22","74578","0.0-22.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1281.300000000745","img/land6.png","76","1288.199999999255","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","23","74885","0.0-23.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","24","76201","0.0-24.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1309.199999999255","img/land6.png","76","1314.300000000745","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","25","76508","0.0-25.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","26","77653","0.0-26.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1137.699999999255","img/land6.png","76","1144.4000000003725","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","27","77961","0.0-27.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","28","78806","0.0-28.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","838.2000000011176","img/land3.png","75","844.5999999996275","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","29","79114","0.0-29.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","30","80139","0.0-30.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1018.2000000011176","img/land6.png","76","1024.0999999996275","3","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","31","80447","0.0-31.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","32","81293","0.0-32.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","839.5999999996275","img/land3.png","75","844.9000000003725","2","0","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","33","81600","0.0-33.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","34","82550","0.0-34.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","944.0999999996275","img/land5.png","74","949.2000000011176","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","35","82857","0.0-35.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","36","84415","0.0-36.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1551.199999999255","img/land3.png","75","1556.2000000011176","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","37","84722","0.0-37.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","38","85920","0.0-38.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1191","img/land6.png","76","1197","3","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","39","86225","0.0-39.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","40","87396","0.0-40.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1163.699999999255","img/land3.png","75","1168.699999999255","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","41","87702","0.0-41.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","42","88613","0.0-42.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","903.1999999992549","img/land5.png","74","908.5999999996275","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","43","88920","0.0-43.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","44","90339","0.0-44.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1415.0999999996275","img/land3.png","75","1417.5","2","0","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","45","90642","0.0-45.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","46","91944","0.0-46.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1298.800000000745","img/land6.png","75","1302","2","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","47","92252","0.0-47.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","48","93071","0.0-48.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","812.4000000003725","img/land6.png","75","817.7999999988824","2","1","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","49","93380","0.0-49.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","50","94181","0.0-50.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","795.1999999992549","img/land3.png","76","800.2999999988824","3","0","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","51","94487","0.0-51.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","52","95317","0.0-52.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","821.7999999988824","img/land3.png","76","828.5999999996275","3","0","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","53","95623","0.0-53.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","54","97091","0.0-54.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1463.9000000003725","img/land6.png","75","1467.5","2","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","55","97395","0.0-55.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","56","98489","0.0-56.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1086.199999999255","img/land6.png","75","1091.4000000003725","2","0","3","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","57","98795","0.0-57.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","58","100112","0.0-58.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1311.5999999996275","img/land3.png","75","1316","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","59","100420","0.0-59.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","60","101257","0.0-60.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","828.4000000003725","img/land5.png","74","834.7999999988824","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","61","101563","0.0-61.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","62","102532","0.0-62.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","957","img/land3.png","75","965.9000000003725","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","63","102838","0.0-63.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","64","103859","0.0-64.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1012.5","img/land5.png","74","1019.8999999985099","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","65","104166","0.0-65.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","66","105006","0.0-66.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","833.7000000011176","img/land5.png","74","838.6999999992549","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","67","105313","0.0-67.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","68","106369","0.0-68.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","1051.300000000745","img/land3.png","75","1056.5999999996275","2","1","2","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","69","106677","0.0-69.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","70","107529","0.0-70.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","845.7000000011176","img/land5.png","74","850.8000000007451","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","71","107838","0.0-71.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","72","108595","0.0-72.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","750.0999999996275","img/land5.png","74","755.8000000007451","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
"","html-keyboard-response","73","108901","0.0-73.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","74","109591","0.0-74.0","3BXQMRHWK0KOXR0YLR50CWKVMNCMUZ","A2JZTR2ZSALGH4","3ECKRY5B1QIH1N6NFX1ECCW5ZDKIZQ","","683.0999999996275","img/land5.png","74","692.4000000003725","1","1","1","1","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","0.8,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.8","1","",""
