"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","4983","0.0-0.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","","","","","","","","","","","","",""
"","instructions","1","23812","0.0-1.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","[{""page_index"":0,""viewing_time"":6947.5},{""page_index"":1,""viewing_time"":1041.5},{""page_index"":2,""viewing_time"":2005.9000000059605},{""page_index"":3,""viewing_time"":1890.5},{""page_index"":4,""viewing_time"":2275.5},{""page_index"":5,""viewing_time"":2383.7999999970198},{""page_index"":6,""viewing_time"":2283.5999999940395}]","18828.5","","","","","","","","","","","",""
"","image-keyboard-response","2","25355","0.0-2.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","1541.2000000029802","img/food6.png","74","1542.3999999910593","1","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","3","25665","0.0-3.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","26427","0.0-4.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","760.7000000029802","img/food3.png","75","762","2","0","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","5","26735","0.0-5.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","27276","0.0-6.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","539","img/food6.png","74","540.7999999970198","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","7","27578","0.0-7.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","28374","0.0-8.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","794.3000000119209","img/food2.png","76","795","3","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","9","28676","0.0-9.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","29658","0.0-10.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","980.1999999880791","img/food3.png","76","981.7999999970198","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","11","29960","0.0-11.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","30699","0.0-12.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","736.7000000029802","img/food3.png","76","738.1000000089407","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","13","31001","0.0-13.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","31627","0.0-14.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","625","img/food6.png","75","625.7999999970198","2","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","15","31929","0.0-15.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","32451","0.0-16.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","520.2000000029802","img/food6.png","74","521.7000000029802","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","17","32761","0.0-17.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","33454","0.0-18.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","691.5999999940395","img/food6.png","74","692.3999999910593","1","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","19","33756","0.0-19.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","34565","0.0-20.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","807.2000000029802","img/food2.png","75","808.4000000059605","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","21","34867","0.0-21.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","22","35462","0.0-22.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","594.4000000059605","img/food2.png","75","595.5","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","23","35764","0.0-23.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","24","36281","0.0-24.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","515.5999999940395","img/food2.png","74","517","1","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","25","36585","0.0-25.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","26","37687","0.0-26.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","1099.7999999970198","img/food3.png","76","1101.2000000029802","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","27","37991","0.0-27.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","28","38901","0.0-28.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","908.9000000059605","img/food2.png","75","909.5999999940395","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","29","39202","0.0-29.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","30","40100","0.0-30.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","897.0999999940395","img/food3.png","76","897.7000000029802","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","31","40401","0.0-31.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","32","41155","0.0-32.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","753.1000000089407","img/food2.png","75","753.7999999970198","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","33","41457","0.0-33.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","34","42095","0.0-34.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","636.0999999940395","img/food3.png","76","637.6000000089407","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","35","42397","0.0-35.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","36","43023","0.0-36.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","625.7000000029802","img/food6.png","74","626.2999999970198","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","37","43326","0.0-37.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","38","44003","0.0-38.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","674.8999999910593","img/food3.png","76","676.2000000029802","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","39","44305","0.0-39.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","40","45126","0.0-40.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","819.7000000029802","img/food6.png","74","820.8000000119209","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","41","45428","0.0-41.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","42","46081","0.0-42.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","650.7999999970198","img/food2.png","75","652.2999999970198","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","43","46384","0.0-43.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","44","46918","0.0-44.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","532.0999999940395","img/food2.png","75","533.0999999940395","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","45","47220","0.0-45.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","46","47907","0.0-46.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","685.5999999940395","img/food6.png","74","687","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","47","48210","0.0-47.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","48","49063","0.0-48.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","850.7000000029802","img/food2.png","75","852.2000000029802","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","49","49366","0.0-49.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","50","49870","0.0-50.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","503.3999999910593","img/food2.png","75","504.29999999701977","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","51","50173","0.0-51.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","52","50838","0.0-52.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","663.5","img/food3.png","76","664.6999999880791","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","53","51141","0.0-53.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","54","51629","0.0-54.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","486.79999999701977","img/food3.png","76","488.20000000298023","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","55","51932","0.0-55.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","56","52614","0.0-56.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","679.6999999880791","img/food2.png","75","681.0999999940395","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","57","52917","0.0-57.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","58","53326","0.0-58.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","408.8999999910593","img/food2.png","75","409.69999998807907","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","59","53629","0.0-59.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","60","54017","0.0-60.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","386.40000000596046","img/food2.png","75","387.90000000596046","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","61","54320","0.0-61.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","62","54762","0.0-62.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","439.20000000298023","img/food2.png","75","440.79999999701977","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","63","55064","0.0-63.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","64","55564","0.0-64.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","498.5","img/food2.png","75","499.70000000298023","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","65","55866","0.0-65.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","66","56524","0.0-66.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","656.3000000119209","img/food6.png","74","657.5","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","67","56825","0.0-67.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","68","57314","0.0-68.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","480","img/food6.png","74","480.79999999701977","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","69","57616","0.0-69.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","70","58088","0.0-70.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","470.20000000298023","img/food6.png","74","471.70000000298023","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","71","58392","0.0-71.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","72","59130","0.0-72.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","737.5","img/food3.png","76","738.6000000089407","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","73","59433","0.0-73.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","74","60214","0.0-74.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","778.9000000059605","img/food6.png","74","780.3000000119209","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","75","60516","0.0-75.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","76","61032","0.0-76.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","514.7000000029802","img/food6.png","74","515.5","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","77","61333","0.0-77.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","78","61784","0.0-78.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","449.30000001192093","img/food6.png","74","450.30000001192093","1","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","79","62087","0.0-79.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","80","62725","0.0-80.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","636.8000000119209","img/food2.png","75","638.1000000089407","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","81","63028","0.0-81.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","82","63627","0.0-82.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","598.2999999970198","img/food3.png","76","598.8000000119209","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","83","63928","0.0-83.0","3LPW2N6LKUOQPKFSTSOEVU99ZGOU5U","A1TPGXT718D68E","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
