"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","6786","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","48157","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":8339.799999999814},{""page_index"":1,""viewing_time"":1431.5},{""page_index"":2,""viewing_time"":2568.399999999907},{""page_index"":3,""viewing_time"":2657.100000000093},{""page_index"":4,""viewing_time"":8393.100000000093},{""page_index"":5,""viewing_time"":5185.299999999814},{""page_index"":6,""viewing_time"":6808.300000000279},{""page_index"":7,""viewing_time"":5984.899999999907}]","41368.799999999814","","","","","","","","","","",""
"","image-keyboard-response","2","49562","0.0-2.0","","","","","1402.7000000001863","img/flower5.png","74","1404.3999999999069","1","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","49866","0.0-3.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","50386","0.0-4.0","","","","","517.2999999998137","img/flower2.png","74","518.8999999999069","1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","50687","0.0-5.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","51098","0.0-6.0","","","","","409.60000000009313","img/flower2.png","74","410.79999999981374","1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","51400","0.0-7.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","51834","0.0-8.0","","","","","431.89999999990687","img/flower2.png","75","433.6999999997206","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","52136","0.0-9.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","52962","0.0-10.0","","","","","824.3000000002794","img/flower4.png","76","825.8999999999069","3","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","53264","0.0-11.0","","","","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","53745","0.0-12.0","","","","","480","img/flower5.png","74","481.10000000009313","1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","13","54047","0.0-13.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
