"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","1731","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","6098","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":542.1999999880791},{""page_index"":1,""viewing_time"":543.7000000178814},{""page_index"":2,""viewing_time"":144.09999999403954},{""page_index"":3,""viewing_time"":39.900000005960464},{""page_index"":4,""viewing_time"":728},{""page_index"":5,""viewing_time"":648},{""page_index"":6,""viewing_time"":759.8999999761581},{""page_index"":7,""viewing_time"":960}]","4366.299999982119","","","","","","","","","","",""
"","image-keyboard-response","2","7255","0.0-2.0","","","","","1155.6000000238419","img/flower5.png","74","1156.4000000059605","1","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","7562","0.0-3.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","7975","0.0-4.0","","","","","411.69999998807907","img/flower2.png","74","412.30000001192093","1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","8282","0.0-5.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","8439","0.0-6.0","","","","","156","img/flower3.png","75","156.5","2","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","8746","0.0-7.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","9017","0.0-8.0","","","","","269.69999998807907","img/flower2.png","76","270.30000001192093","3","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","9322","0.0-9.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","9507","0.0-10.0","","","","","183.7999999821186","img/flower2.png","76","184.30000001192093","3","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","9807","0.0-11.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
